School_ID,Region,School_Type,Student_Count,Teacher_Count,Term_1_Avg,Term_2_Avg,STEM_Subject_Rate,Literacy_Rate,Failure_Risk_Index,Average_Attendance,Library_Usage_Hours,Extracurricular_Participation,LMS_Login_Frequency,Internet_Speed_Mbps,Smart_Classroom_Ratio,Lab_Equipment_Quality_Score,Teacher_Turnover_Rate,Teacher_PhD_Ratio,Professional_Development_Hours_Per_Year,Budget_Per_Student,Budget_Allocation_IT,Budget_Allocation_Scholarships,Regional_Economic_Index,Student_Wellbeing_Score,Teacher_Burnout_Index,Overall_School_Quality_Score,Teacher_to_Student_Ratio,Budget_Efficiency_Score
SCH_0015,الشرق,حكومية,1009,26,13.59,38.0,64.9,26.14,36.98,91.19,3.92,3.73,4.2,50.77,0.0,6,24.02,0.0,42.8,5011.87,0.01,0.01,0.9,3.03,4.03,38.11,0.03,7.6
SCH_0016,الجنوب,حكومية,1605,83,49.95,99.93,47.88,56.52,19.35,100.0,5.6,30.38,12.91,51.99,0.47,1,7.41,0.34,44.12,1830.03,0.07,0.07,0.87,4.55,6.09,56.75,0.05,31.01
SCH_0017,الشرق,حكومية,1359,148,15.73,33.78,74.25,25.92,35.78,92.04,4.35,47.57,0.0,23.98,0.35,4,15.04,0.05,21.93,3682.73,0.05,0.05,0.84,3.16,3.45,38.01,0.11,10.32
SCH_0018,الجنوب,خاصة,1731,103,46.3,47.33,49.21,61.18,4.97,79.49,9.43,86.68,14.95,34.88,0.22,3,9.99,0.0,36.78,9422.02,0.11,0.1,0.52,3.95,6.73,53.61,0.06,5.69
SCH_0019,الشرق,حكومية,1585,39,25.1,35.73,71.49,30.93,15.91,99.93,0.39,66.97,2.91,36.92,0.48,1,15.54,0.08,38.53,7635.61,0.11,0.1,0.88,5.08,4.72,44.84,0.02,5.87
SCH_0020,الغرب,مجتمعية,1080,15,33.61,54.42,49.96,47.49,39.2,95.47,0.87,33.61,8.95,51.47,0.25,3,6.32,0.07,35.23,5048.57,0.01,0.05,0.43,4.95,4.5,45.88,0.01,9.09
SCH_0021,المركز,مجتمعية,1799,174,55.05,37.97,47.96,34.19,10.19,91.93,7.62,54.57,5.65,64.47,0.03,4,0.66,0.28,34.81,5062.06,0.02,0.08,0.39,4.97,2.47,51.8,0.1,10.23
SCH_0022,الشرق,حكومية,453,145,67.86,82.34,100.0,72.39,9.28,92.64,0.8,41.72,7.7,108.29,0.16,5,19.06,0.15,29.26,8985.84,0.09,0.01,0.33,5.13,3.0,59.99,0.32,6.68
SCH_0023,الشرق,حكومية,2267,63,30.6,23.39,41.66,15.08,21.25,100.0,3.19,30.97,6.06,27.46,0.31,6,14.65,0.04,21.31,6690.72,0.07,0.07,0.96,5.93,7.83,39.31,0.03,5.87
SCH_0024,الغرب,خاصة,1368,161,49.37,83.35,65.13,48.82,14.32,94.32,2.82,34.43,11.65,10.0,0.48,2,12.26,0.38,71.17,5968.02,0.02,0.04,0.52,5.58,2.25,54.72,0.12,9.17
SCH_0025,الشرق,مجتمعية,1431,74,29.93,64.48,0.35,46.5,28.08,86.98,0.28,56.47,19.32,78.35,0.55,2,18.06,0.19,50.18,5273.84,0.03,0.03,0.94,3.63,2.97,48.96,0.05,9.28
SCH_0026,الشمال,حكومية,365,171,47.18,37.94,12.75,41.39,22.46,82.8,1.1,56.78,9.63,10.0,0.39,6,17.5,0.38,10.76,4870.54,0.03,0.06,0.49,1.91,2.93,39.8,0.47,8.17
SCH_0027,الغرب,حكومية,1773,192,61.57,58.46,68.85,60.79,0.0,97.03,2.78,89.26,12.07,47.01,0.34,5,0.0,0.37,2.4,4514.8,0.14,0.06,0.94,4.58,5.66,55.73,0.11,12.34
SCH_0028,الشمال,حكومية,816,16,47.21,35.2,64.9,32.76,29.45,96.44,5.87,23.85,11.06,20.83,0.31,1,0.0,0.0,31.8,5048.28,0.08,0.04,0.93,3.07,5.58,45.08,0.02,8.93
SCH_0029,الغرب,حكومية,1825,87,61.23,41.57,44.28,73.11,14.76,89.62,4.0,64.95,8.92,42.05,0.26,3,8.69,0.27,45.91,5327.64,0.11,0.09,0.95,1.76,6.39,52.39,0.05,9.83
SCH_0030,الشرق,حكومية,702,198,40.26,36.42,38.81,61.77,15.13,85.6,3.42,50.64,7.4,12.73,0.24,5,16.3,0.38,27.39,4023.05,0.14,0.04,0.65,3.47,3.59,44.27,0.28,11.0
SCH_0031,الشمال,خاصة,1112,159,39.43,10.2,0.0,36.31,47.85,98.29,1.92,22.72,5.61,10.0,0.05,2,11.09,0.31,43.28,6147.92,0.02,0.01,0.91,1.79,4.49,35.17,0.14,5.72
SCH_0032,الشرق,حكومية,2326,124,23.33,58.27,23.85,35.72,44.57,81.85,1.13,38.36,10.2,38.88,0.0,1,11.57,0.27,32.75,6733.37,0.01,0.09,0.97,3.27,4.48,40.02,0.05,5.94
SCH_0033,الغرب,حكومية,784,178,87.36,72.6,58.87,66.92,2.21,100.0,0.47,78.96,15.39,32.32,0.19,9,32.21,0.31,34.43,8329.04,0.03,0.07,0.53,1.0,4.77,57.27,0.23,6.88
SCH_0034,الشرق,حكومية,2158,75,0.0,27.68,0.0,10.48,67.73,80.28,1.24,6.64,0.0,51.98,0.07,5,3.65,0.0,34.82,2275.4,0.01,0.07,0.59,1.0,4.81,28.25,0.03,12.42
SCH_0035,الشمال,حكومية,595,31,29.66,18.26,0.01,13.4,32.7,76.7,0.07,13.82,0.0,10.0,0.0,2,12.62,0.0,17.81,500.0,0.01,0.05,0.8,1.0,7.58,21.79,0.05,43.58
SCH_0036,الشمال,حكومية,1831,63,24.36,69.05,39.64,64.02,20.65,79.86,0.76,0.0,12.84,10.0,0.14,10,33.8,0.07,27.9,6781.33,0.04,0.01,0.51,3.21,4.29,40.49,0.03,5.97
SCH_0037,الشرق,حكومية,2080,90,53.77,55.72,85.02,67.39,8.6,81.73,2.09,41.9,4.42,106.21,0.52,4,10.54,0.0,46.87,5595.65,0.12,0.08,0.83,6.55,1.0,57.95,0.04,10.36
SCH_0038,الجنوب,حكومية,601,162,100.0,100.0,100.0,100.0,5.5,92.18,2.56,77.83,5.31,104.78,0.81,3,0.0,0.47,46.73,7566.37,0.14,0.06,0.35,10.0,2.33,78.61,0.27,10.39
SCH_0039,الغرب,حكومية,1174,192,27.58,19.02,45.56,34.11,59.8,85.24,0.14,16.63,0.0,121.35,0.13,7,26.73,0.08,60.59,3275.06,0.04,0.04,0.67,4.54,1.06,39.57,0.16,12.08
SCH_0040,الغرب,حكومية,423,145,50.04,13.53,20.75,5.98,18.41,94.9,2.23,0.0,11.56,10.0,0.0,1,21.31,0.24,35.5,3637.98,0.02,0.01,0.39,1.0,6.7,31.56,0.34,8.67
SCH_0041,الشرق,مجتمعية,717,57,13.83,11.57,24.93,14.72,12.19,93.45,1.93,0.0,6.47,20.14,0.0,10,18.04,0.0,33.6,7128.28,0.01,0.01,0.51,1.0,6.97,32.57,0.08,4.57
SCH_0042,الجنوب,حكومية,435,71,54.35,38.73,37.51,37.95,34.17,87.18,0.26,20.08,1.98,54.28,0.13,4,17.0,0.28,31.17,4769.12,0.11,0.02,0.48,4.37,4.28,41.62,0.16,8.73
SCH_0043,الشمال,حكومية,315,64,90.85,64.92,76.58,99.41,16.14,100.0,13.03,96.27,8.95,85.64,0.74,7,0.0,0.18,58.56,6756.68,0.09,0.15,0.89,7.75,2.0,76.48,0.2,11.32
SCH_0044,المركز,حكومية,425,192,21.68,25.38,29.59,23.1,43.38,84.59,0.26,0.0,2.5,10.0,0.41,10,11.12,0.0,19.61,5341.61,0.01,0.02,0.44,3.16,7.31,32.82,0.45,6.14
SCH_0045,المركز,مجتمعية,2477,51,19.78,56.6,36.67,45.95,38.35,88.29,6.24,48.72,10.47,78.54,0.0,5,13.57,0.37,36.59,6227.79,0.1,0.04,0.87,3.1,2.54,49.42,0.02,7.93
SCH_0046,الشرق,حكومية,381,60,46.84,42.77,30.16,67.6,6.06,80.17,0.0,60.73,6.62,67.92,0.16,4,1.41,0.33,22.44,2536.67,0.11,0.11,0.86,3.59,4.35,47.48,0.16,18.72
SCH_0047,الجنوب,حكومية,1541,184,49.94,14.79,60.86,37.13,19.83,87.56,6.33,74.65,0.87,10.0,0.0,4,17.11,0.13,45.19,6564.43,0.01,0.02,0.65,6.06,6.41,43.0,0.12,6.55
SCH_0048,الجنوب,خاصة,409,29,64.48,58.11,32.25,67.89,17.04,94.34,0.08,76.48,16.12,43.56,0.41,2,11.13,0.21,45.25,12132.15,0.15,0.07,0.46,5.69,5.34,56.62,0.07,4.67
SCH_0049,الغرب,حكومية,1615,175,71.79,77.14,100.0,74.7,41.52,82.5,5.8,74.86,10.33,34.79,0.32,8,16.1,0.28,70.65,2678.44,0.07,0.1,0.46,3.54,1.0,61.76,0.11,23.06
SCH_0050,الشمال,حكومية,2343,94,0.0,10.44,29.52,22.69,48.71,82.95,1.16,22.87,1.95,15.76,0.19,4,31.43,0.09,61.7,1886.05,0.01,0.01,0.63,4.5,5.65,27.2,0.04,14.42
SCH_0051,الجنوب,حكومية,1093,153,50.9,56.96,39.58,74.15,29.62,93.51,5.05,47.19,11.81,87.43,0.49,2,6.2,0.06,49.14,1430.62,0.1,0.04,0.31,1.73,1.0,54.68,0.14,38.22
SCH_0052,المركز,حكومية,2081,162,77.98,45.03,61.62,69.5,3.33,86.91,1.97,65.95,0.0,49.76,0.48,9,14.71,0.12,39.37,7128.75,0.12,0.01,0.67,1.0,1.0,55.24,0.08,7.75
SCH_0053,الشمال,حكومية,1309,38,22.98,71.91,33.65,40.73,35.22,83.35,0.24,58.75,8.7,34.63,0.0,10,19.37,0.42,18.48,7936.46,0.09,0.01,0.97,4.92,4.18,45.43,0.03,5.72
SCH_0054,الشمال,خاصة,2226,139,38.73,29.07,44.12,40.43,18.28,94.05,4.14,25.79,6.25,10.0,0.16,7,21.29,0.48,41.96,5168.88,0.04,0.01,0.41,4.06,4.48,43.8,0.06,8.47
SCH_0055,الشرق,حكومية,593,132,79.51,94.09,92.61,88.34,38.09,82.43,0.32,87.32,4.63,99.69,0.12,3,0.99,0.46,46.21,11163.31,0.09,0.08,0.7,6.98,3.68,68.95,0.22,6.18
SCH_0056,الجنوب,خاصة,1043,94,17.49,28.43,30.26,38.59,24.31,78.4,6.72,74.49,0.0,58.01,0.47,7,9.46,0.13,34.38,6133.12,0.05,0.01,0.97,1.0,4.05,43.97,0.09,7.17
SCH_0057,الشرق,حكومية,1724,108,29.3,32.87,48.42,37.72,21.31,89.77,0.16,28.21,2.2,32.52,0.13,1,21.65,0.05,56.0,8748.95,0.04,0.1,0.9,2.56,3.72,39.14,0.06,4.47
SCH_0058,الجنوب,خاصة,803,79,52.57,58.53,57.64,55.56,0.0,97.76,2.48,49.93,9.91,107.34,0.09,1,0.0,0.06,25.61,9515.93,0.18,0.03,0.9,4.24,2.83,55.62,0.1,5.84
SCH_0059,الغرب,حكومية,781,102,61.85,57.0,100.0,86.44,17.35,94.23,5.18,52.46,11.61,51.56,0.3,4,5.35,0.09,26.5,6945.77,0.13,0.11,0.88,4.36,1.0,59.85,0.13,8.62
SCH_0060,الشرق,حكومية,2242,102,92.96,72.26,100.0,81.15,11.15,91.11,2.18,65.88,20.37,37.1,0.52,4,0.0,0.15,40.16,8664.33,0.07,0.09,0.52,9.15,1.0,69.25,0.05,7.99
SCH_0061,الشرق,حكومية,2139,159,22.55,13.91,19.49,34.89,58.18,85.46,0.7,47.69,5.27,53.16,0.32,4,4.38,0.41,41.03,3294.78,0.02,0.05,0.92,1.0,6.49,38.75,0.07,11.76
SCH_0062,المركز,مجتمعية,332,140,100.0,58.16,91.13,84.26,24.19,100.0,6.05,61.67,4.24,72.04,0.71,9,0.0,0.5,50.8,7782.51,0.11,0.1,0.96,6.63,1.0,74.48,0.42,9.57
SCH_0063,الشرق,حكومية,2468,103,54.94,81.74,64.92,55.94,12.92,96.92,5.39,44.14,6.31,33.01,0.32,6,23.36,0.26,21.7,6654.74,0.14,0.01,0.65,6.42,5.34,53.07,0.04,7.98
SCH_0064,الجنوب,حكومية,1175,75,41.38,54.21,44.83,53.33,38.09,90.4,8.96,35.02,1.01,52.32,0.23,3,19.38,0.01,46.35,6331.68,0.15,0.05,0.55,4.76,4.21,48.1,0.06,7.6
SCH_0065,المركز,حكومية,2013,29,57.5,64.88,36.13,30.67,9.9,87.07,1.55,44.1,5.54,10.0,0.39,6,8.74,0.26,14.85,8687.35,0.04,0.04,0.59,5.91,1.0,47.74,0.01,5.5
SCH_0066,الشرق,حكومية,1743,108,85.02,63.75,99.95,73.2,1.4,92.85,3.01,50.46,18.39,23.22,0.59,2,13.38,0.19,30.13,7635.8,0.07,0.04,0.53,7.18,2.52,60.97,0.06,7.98
SCH_0067,الشرق,حكومية,1557,65,0.0,0.0,16.58,29.78,43.34,80.87,1.13,0.0,4.83,19.65,0.12,2,29.66,0.0,23.33,2316.72,0.01,0.03,0.45,2.21,6.03,20.69,0.04,8.93
SCH_0068,الغرب,حكومية,238,41,1.5,2.35,22.22,23.01,24.51,85.5,0.75,22.57,0.0,30.05,0.26,7,19.14,0.09,16.8,2452.14,0.04,0.07,0.73,2.1,5.82,27.11,0.17,11.06
SCH_0069,الشرق,حكومية,1516,88,77.78,73.18,100.0,100.0,26.22,89.03,6.1,100.0,14.89,121.32,0.36,3,0.0,0.11,57.2,9875.82,0.23,0.01,0.69,7.59,1.0,74.45,0.06,7.54
SCH_0070,الشمال,حكومية,361,75,37.31,61.61,100.0,56.79,53.66,90.3,1.59,43.05,5.27,87.66,0.36,7,7.66,0.06,42.61,4468.05,0.12,0.05,0.62,4.11,1.0,55.44,0.21,12.41
SCH_0071,المركز,حكومية,2109,45,100.0,81.86,73.59,92.23,3.52,89.78,2.53,46.47,0.0,103.18,0.1,3,2.99,0.21,71.72,8486.21,0.05,0.05,0.37,4.13,3.65,65.33,0.02,7.7
SCH_0072,الشمال,حكومية,1327,26,81.92,57.99,65.17,88.18,5.43,96.15,2.11,93.99,4.27,107.7,0.7,2,0.0,0.13,37.17,10526.37,0.07,0.07,0.86,7.48,1.62,66.83,0.02,6.35
SCH_0073,المركز,خاصة,2408,60,38.55,40.06,40.23,36.97,28.68,95.42,3.94,31.91,8.1,53.45,0.13,4,18.98,0.11,29.79,6297.59,0.03,0.03,0.42,5.42,1.91,43.87,0.02,6.97
SCH_0074,الغرب,حكومية,1858,173,67.92,75.69,75.0,75.51,5.11,89.27,10.47,77.34,14.82,62.73,0.72,4,9.53,0.21,60.07,7965.06,0.07,0.05,0.38,6.35,2.53,68.83,0.09,8.64
SCH_0075,الشرق,حكومية,2163,46,56.19,75.72,72.72,68.77,21.33,85.02,4.35,37.57,18.37,92.56,0.26,3,13.15,0.0,38.19,7491.41,0.08,0.09,0.74,4.12,1.0,59.01,0.02,7.88
SCH_0076,الشرق,حكومية,1257,174,4.33,55.85,23.99,32.71,13.27,94.07,1.92,27.23,6.77,60.06,0.26,9,19.34,0.33,52.55,3306.08,0.07,0.08,0.58,1.0,2.07,45.0,0.14,13.61
SCH_0077,الشرق,مجتمعية,2489,195,20.51,41.05,21.18,56.47,31.53,91.13,5.13,65.21,13.71,46.27,0.29,6,20.67,0.0,42.06,4541.03,0.1,0.13,0.34,3.89,2.46,46.34,0.08,10.2
SCH_0078,المركز,مجتمعية,1166,75,56.79,46.51,63.35,13.3,64.54,84.89,2.92,25.24,7.39,10.0,0.05,5,16.14,0.0,0.0,4588.99,0.1,0.01,0.55,1.0,2.97,35.08,0.06,7.64
SCH_0079,الشرق,خاصة,1089,60,100.0,82.27,93.53,100.0,0.0,100.0,0.28,67.89,16.88,27.73,0.58,6,6.7,0.19,62.05,9232.44,0.15,0.03,0.84,3.52,1.0,70.9,0.06,7.68
SCH_0080,الشمال,حكومية,2360,99,83.33,69.06,83.6,91.57,0.0,89.68,0.48,43.8,19.3,117.24,0.81,8,0.0,0.26,61.28,11333.9,0.04,0.11,0.73,7.32,2.09,74.66,0.04,6.59
SCH_0081,الشرق,حكومية,2270,94,100.0,100.0,99.95,79.15,0.0,78.18,0.18,88.7,16.12,105.56,0.91,5,0.0,0.49,61.63,9569.36,0.08,0.14,0.55,5.77,1.0,79.82,0.04,8.34
SCH_0082,الغرب,حكومية,1866,149,30.48,56.97,59.54,25.07,46.69,81.62,1.64,2.59,8.81,41.46,0.29,4,32.66,0.11,0.0,7307.36,0.03,0.05,0.43,2.52,7.13,34.29,0.08,4.69
SCH_0083,الشمال,حكومية,1641,18,68.46,68.38,43.34,61.23,33.81,100.0,6.59,69.67,5.37,85.49,0.11,7,0.0,0.26,27.78,10347.16,0.1,0.11,0.74,4.41,1.0,62.11,0.01,6.0
SCH_0084,الشرق,حكومية,1267,66,68.51,91.24,94.11,97.1,17.2,91.45,1.76,75.96,1.35,62.92,0.26,5,11.3,0.31,38.14,10882.77,0.18,0.08,0.92,5.98,1.0,65.64,0.05,6.03
SCH_0085,الشرق,خاصة,327,173,9.6,32.65,8.92,43.52,6.26,84.55,1.5,35.2,8.76,10.0,0.45,4,9.61,0.14,18.4,8020.47,0.06,0.02,0.75,1.0,4.09,36.39,0.53,4.54
SCH_0086,الجنوب,خاصة,357,126,85.35,60.65,65.24,80.82,6.08,91.97,9.68,69.54,12.02,83.09,0.21,5,0.6,0.25,66.41,5751.37,0.1,0.07,0.87,3.7,5.66,67.03,0.35,11.65
SCH_0087,المركز,خاصة,1026,50,0.0,43.32,37.49,44.54,23.92,95.6,5.0,27.63,0.0,61.09,0.27,4,21.33,0.0,27.37,2462.63,0.05,0.02,0.67,1.0,5.55,35.99,0.05,14.61
SCH_0088,الشمال,حكومية,2090,196,57.59,59.55,37.51,58.89,19.12,90.32,4.15,82.22,2.66,70.37,0.39,8,0.0,0.14,37.39,8222.6,0.08,0.08,0.8,2.33,8.84,56.52,0.09,6.87
SCH_0089,الجنوب,حكومية,711,68,38.17,68.8,39.94,55.8,28.43,94.1,1.03,66.15,7.21,10.0,0.53,8,5.92,0.31,41.39,3375.67,0.07,0.07,0.93,2.84,4.04,51.21,0.1,15.17
SCH_0090,الغرب,حكومية,2292,133,40.46,47.88,63.36,59.18,5.78,88.22,0.43,13.54,10.69,54.58,0.39,1,4.67,0.73,42.75,5734.34,0.13,0.08,0.84,1.49,3.63,52.54,0.06,9.16
SCH_0091,المركز,حكومية,2466,141,68.3,57.4,75.37,43.53,11.62,96.15,0.06,47.45,12.14,29.84,0.38,3,6.89,0.01,0.0,8993.1,0.09,0.08,0.94,4.76,1.0,49.77,0.06,5.53
SCH_0092,الشمال,خاصة,642,31,40.03,41.17,27.04,46.88,33.61,91.46,0.4,56.88,2.43,10.0,0.71,4,4.41,0.21,25.36,9340.07,0.07,0.06,0.6,4.5,3.84,45.31,0.05,4.85
SCH_0093,الشرق,حكومية,2424,89,76.1,59.01,77.64,64.31,5.49,88.83,1.42,37.28,6.55,69.94,0.59,2,23.47,0.12,19.86,7403.2,0.1,0.09,0.93,3.96,2.13,53.01,0.04,7.16
SCH_0094,الشمال,حكومية,2475,172,60.63,66.22,69.68,68.84,17.74,92.92,3.01,15.45,12.12,63.38,0.46,5,28.34,0.48,43.56,5795.71,0.15,0.01,0.74,5.53,1.67,57.22,0.07,9.87
SCH_0095,الشرق,حكومية,1926,119,43.32,0.0,14.0,16.4,69.53,81.84,0.16,0.0,2.14,10.0,0.0,8,1.82,0.0,19.22,4469.62,0.01,0.02,0.91,1.0,5.02,28.14,0.06,6.3
SCH_0096,المركز,حكومية,2206,164,34.87,43.37,77.43,64.79,52.03,79.54,0.54,42.21,13.65,68.79,0.1,2,16.53,0.26,36.93,4748.25,0.17,0.06,0.33,2.23,2.52,47.3,0.07,9.96
SCH_0097,الشرق,خاصة,1895,131,69.03,88.46,56.8,72.4,0.0,91.7,0.81,0.0,8.67,44.87,0.36,9,16.44,0.0,9.4,7454.87,0.04,0.07,0.76,5.26,1.52,53.15,0.07,7.13
SCH_0098,الغرب,حكومية,466,57,75.25,54.46,77.03,73.61,17.32,81.56,4.06,32.75,14.01,71.35,0.11,7,13.24,0.16,35.99,7798.54,0.07,0.07,0.89,6.88,6.05,58.34,0.12,7.48
SCH_0099,الشرق,خاصة,1037,126,64.63,81.42,45.17,75.04,59.52,96.63,3.88,19.21,10.07,53.92,0.35,6,1.3,0.2,57.27,7737.5,0.14,0.08,0.42,7.21,1.15,61.48,0.12,7.95
SCH_0100,الغرب,حكومية,688,129,44.62,33.73,32.66,67.13,24.84,91.17,3.15,74.67,6.09,57.13,0.55,8,6.39,0.35,60.54,7704.37,0.15,0.05,0.76,8.4,2.46,57.94,0.19,7.52
SCH_0101,المركز,حكومية,901,41,55.13,58.02,51.89,47.67,32.14,100.0,0.89,47.65,10.08,44.32,0.41,2,8.45,0.0,41.66,3869.98,0.01,0.07,0.88,2.15,3.02,48.61,0.05,12.56
SCH_0102,المركز,خاصة,886,51,53.81,29.7,49.17,42.93,45.31,87.23,1.61,44.57,2.35,80.54,0.22,5,8.61,0.25,14.59,4958.82,0.02,0.06,0.5,3.65,4.64,44.13,0.06,8.9
SCH_0103,الشمال,حكومية,1195,60,20.04,25.9,29.78,35.13,33.75,88.74,0.32,33.24,6.23,47.81,0.82,4,3.14,0.12,50.6,4238.82,0.07,0.04,0.58,1.06,4.01,43.31,0.05,10.22
SCH_0104,الغرب,مجتمعية,556,127,73.99,77.61,46.1,75.36,26.93,79.98,1.03,64.82,11.0,86.13,0.66,8,7.0,0.24,51.08,4478.26,0.22,0.05,0.7,2.88,1.4,63.77,0.23,14.24
SCH_0105,الغرب,حكومية,1071,49,80.95,59.48,71.97,57.29,19.13,81.71,8.35,24.38,7.71,55.74,0.33,1,0.0,0.31,34.87,7563.64,0.15,0.08,0.66,4.89,1.0,59.17,0.05,7.82
SCH_0106,الجنوب,حكومية,2173,146,71.79,85.76,42.17,68.48,16.89,78.8,16.25,82.92,15.8,86.96,0.66,3,4.92,0.02,11.32,9852.48,0.1,0.08,0.33,4.23,2.15,63.19,0.07,6.41
SCH_0107,الجنوب,حكومية,2451,94,40.54,21.4,60.43,49.95,36.11,97.68,3.36,34.32,8.95,71.59,0.13,10,2.37,0.24,46.48,7432.95,0.01,0.02,0.37,5.71,2.95,53.73,0.04,7.23
SCH_0108,الجنوب,مجتمعية,751,94,77.49,49.66,62.99,53.64,36.0,86.72,9.0,61.53,10.36,110.34,0.37,8,13.58,0.08,27.31,6252.68,0.09,0.05,0.37,1.39,2.64,58.5,0.13,9.36
SCH_0109,الشرق,حكومية,2010,168,26.93,32.23,12.33,37.19,22.78,99.77,3.34,50.72,6.57,77.81,0.18,5,7.83,0.29,37.64,4281.92,0.08,0.06,0.48,4.29,1.15,46.6,0.08,10.88
SCH_0110,الجنوب,خاصة,522,135,100.0,71.31,90.48,95.01,0.0,72.35,0.16,81.05,22.48,86.31,0.29,4,5.92,0.31,47.41,10645.85,0.11,0.1,0.47,5.03,3.59,70.62,0.26,6.63
SCH_0111,الغرب,حكومية,2428,161,100.0,97.5,100.0,88.48,0.0,100.0,26.7,77.11,20.61,122.9,0.64,6,13.68,0.23,69.64,10477.12,0.09,0.1,0.82,5.44,2.4,81.27,0.07,7.76
SCH_0112,الشرق,حكومية,282,136,0.0,26.63,36.28,13.39,37.95,85.7,0.25,14.76,6.47,28.96,0.07,5,37.77,0.0,21.87,4308.92,0.03,0.02,0.7,2.08,8.11,24.95,0.48,5.79
SCH_0113,المركز,حكومية,461,95,18.24,23.21,11.7,27.49,50.16,90.55,3.27,21.35,8.02,10.05,0.18,3,0.0,0.21,28.25,8467.11,0.01,0.06,0.83,1.0,6.6,35.78,0.21,4.23
SCH_0114,الشمال,حكومية,983,187,16.17,46.88,38.37,21.32,44.93,78.9,0.79,28.89,0.59,40.92,0.14,5,10.65,0.26,50.89,4629.95,0.13,0.06,0.35,1.0,5.74,39.15,0.19,8.46
